Doc_ID	Cite_ID	Type	Contents	Label	Paper_ID	URL	Coords
doc0006	cite0220	Raw_Reference	"Mann to his mother, 25 January 1920, in An Administrator in the Making: James Saumarez Mann, 1893-1920, ed. by his father [James Saumarez Mann Sr.] (London: Vintage, 1921), 206. See also John Glubb, The Story of the Arab Legion (London: Hodder and Stoughton, 1948), 19."		d6a9b486f833a3db09298ea76f05ee3cb476c8f5	https://library.oapen.org/bitstream/20.500.12657/51086/1/external_content.pdf	"64,90.79,193.00,290.23,9.00;64,72.00,205.00,308.97,9.00;64,72.00,217.00,308.97,9.00;64,71.99,229.00,172.78,9.00"
doc0048	cite0501	Raw_Reference	"INDEX II Salisbury Hours ii. 266 ftn. Salisbury, Lord i. 144-187, 218, 383- 386"		66322e6103e0d8944be90aeb86f883f0e09d0797	https://www.biodiversitylibrary.org/itempdf/58316	"474,207.90,42.11,57.69,10.01;474,65.34,74.43,110.80,9.01;474,65.52,84.19,162.52,9.01;474,75.78,94.23,11.71,9.01"
doc0048	cite0546	Raw_Reference	"Kollmann's ditto i. 325 Nose ditto i. 327, 328"		66322e6103e0d8944be90aeb86f883f0e09d0797	https://www.biodiversitylibrary.org/itempdf/58316	"470,79.20,163.44,92.41,9.01;470,79.74,173.07,85.87,9.01"
doc0006	cite0421	Raw_Reference	"Townsend, Asia and Europe, 307."		d6a9b486f833a3db09298ea76f05ee3cb476c8f5	https://library.oapen.org/bitstream/20.500.12657/51086/1/external_content.pdf	"61,70.41,133.00,134.56,9.00"
doc0034	cite0474	Raw_Reference	"Maret, P. 1984. L'archeologie en zone bantu jusq'en 1984. Muntu (Libreville), 1: 37-60."		ddf834d24b5d6674de9a29f6de7686da2e9b0aed	https://ora.ox.ac.uk/objects/uuid:109c9470-855f-4696-906d-61ae770e217b/download_file?safe_filename=602354790.pdf&file_format=application%2Fpdf&type_of_work=Thesis	"271,112.86,308.97,398.12,15.21;271,528.29,311.02,35.29,13.52;271,581.56,311.28,38.41,13.52;271,114.41,332.74,175.91,14.17"
doc0012	cite0515	Raw_Reference	"Arnold, D. (ed.) Warm Climates and Western Medicine: The emergence of tropical medicine 1500-1900 (Amsterdam, 1996)."		ea4c843fe045e40e11e3f9ef53da2177be6d5e3a	https://scholarlypublications.universiteitleiden.nl/access/item%3A2723076/view	"319,55.25,169.63,325.96,9.95;319,69.42,182.57,155.60,10.34"
doc0011	cite0089	Raw_Reference	"iv American Institute of Architects, Economic and Construction Outlook in the Gulf States After Hurricane Katrina, Oct. 7, 2005, 3. http://www.aia.org/SiteObjects/files/AIA_katrina_econ_report.pdf."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"51,74.23,195.78,5.27,6.14;51,81.00,198.45,439.33,7.89;51,81.00,209.45,273.00,7.89"
doc0004	cite0004	Raw_Reference	"U.S. Commission on the Role of Gold in the Domestic and International Mon- etary Systems. 1982. Report to the Congress. 2 vols. Washington, D.C.: Government Printing Office."		d322ea40724b23aa12d0dbddabd95ffb4ea3ddd9	http://www.nber.org/chapters/c6734.pdf	"62,61.91,569.09,309.08,8.19;62,70.31,578.88,300.52,8.19;62,70.30,588.98,113.47,8.19"
doc0029	cite0442	Raw_Reference	"Eric Santner, ''History beyond the Pleasure Principle,'' in Friedlander, Probing the Limits, 146."		da046592a514d3b052da34aa79a06766dbb89171	https://muse.jhu.edu/book/72311/pdf	"208,77.67,249.56,303.94,8.99;208,85.93,261.56,55.79,8.99"
doc0023	cite0551	Raw_Reference	"Brandes, Georg, 514 n.119"		9d7a870c061da41b94c24ceb6360386d011b99e0	https://muse.jhu.edu/book/67900/pdf	"552,48.61,161.35,97.62,11.10"
doc0002	cite0596	Raw_Reference	"Greiff, Constance 1988 Historic background遯ｶｽ｢ information on Morven and its occupants. Report. on file, New Jersey State Museum, Trenton."		2163f3963aa4bea92b2b7a4590a8ba6fbfe6c6e4	https://orb.binghamton.edu/cgi/viewcontent.cgi?article=1267&context=neha	
doc0023	cite0083	Raw_Reference	"---. Basic Writings. Trans. and ed. Walter Kaufmann. New York: Modern Library, 1968. (Includes: Birth of Tragedy [1872];"		9d7a870c061da41b94c24ceb6360386d011b99e0	https://muse.jhu.edu/book/67900/pdf	"546,47.89,187.63,336.77,12.60;546,56.98,197.91,220.40,12.60"
doc0089	cite0592	Raw_Reference	"Saxonia (SAX; Dresden 1820-50): Mittheilungen des statistischen Vereins, pp. 66f. (1820-31, obvious misprint for 1821 corrected), Seuffert, Statistik, p. 375 (1832-50)."		6d1d01fd8e3650b01702c29a6eba7f926d597f9e	https://epub.ub.uni-muenchen.de/15926/1/economic_crises.pdf	"29,140.25,508.10,339.76,8.86;29,155.46,519.74,324.56,8.86"
doc0076	cite0453	Raw_Reference	"Jerusalem Siluam, Meyers 124 (E);"		044dfb18bfa94bc5643783f6a44c671fe09ac597	https://repository.naturalis.nl/pub/534974/MBMHU1962188001001.pdf	"140,153.57,191.82,129.19,4.87"
doc0002	cite0163	Raw_Reference	"Betts, Edwin Morris, ed. 1981 Thomas jefferson's Garden Book, 1766-1824."		2163f3963aa4bea92b2b7a4590a8ba6fbfe6c6e4	https://orb.binghamton.edu/cgi/viewcontent.cgi?article=1267&context=neha	"28,47.01,157.56,79.79,7.11;28,54.93,166.68,191.99,7.11"
doc0026	cite0065	Raw_Reference	"The patronage involved in these thousands of local appointments stirred controversy in Republi- can cities like Philadelphia. See ""J.H. Mays Made State Director of Home Loan Board,"" Evening Bulletin, 12 June 1933, George D. McDowell Philadelphia Evening Bulletin Newsclipping Collection, Philadel- phia, Temple University Libraries, Urban Archives [hereafter, McDowell Collection], HOLC card 3;"	YES	1d02f6e3afa598003e4030f956e57e8feb7d6020	https://repository.upenn.edu/cgi/viewcontent.cgi?article=1007&context=cplan_papers	"21,145.78,276.51,340.21,6.99;21,126.00,286.51,359.93,6.99;21,126.00,296.51,359.99,6.99;21,126.00,306.51,359.99,6.99"
doc0060	cite0458	Raw_Reference	"Bernhofen, Daniel M., Markus Eberhardt, Jianan Li and Stephen L. Morgan (2016), ""Assessing market disintegration in early modern China and Europe"", CEPR Discussion Paper No. 11288, http://cepr.org/active/publications/discussion_papers/dp.php?dpno=11288."		f2d44fdc9c0dcd5fc9f420b6ddbc3e5e4f0a94f9	https://ora.ox.ac.uk/objects/uuid:1aa49524-f613-4668-a34b-8a7fcc485b74/download_file?safe_filename=155aprilbroadberry.pdf&file_format=pdf&type_of_work=Working+paper	"59,72.02,74.88,402.77,10.54;59,108.02,88.50,368.55,10.72;59,108.02,102.48,139.64,10.54;59,108.02,116.28,358.52,10.54"
doc0005	cite0427	Raw_Reference	Yasser Tabhaa. 7%e I'rarr~j)r-ination o/ Iylainir .Art d u n n g the S u ~r ~i i h z ~i o n l (Seattle: Univel-sit\ of \Vashington Pres?. 2001).		fc15208c55b16378032b70f869c1f4fbb260aa52	http://arthistoriography.files.wordpress.com/2012/05/blairbloomdoc.pdf	"35,79.24,426.29,220.13,8.90;35,291.60,428.16,26.91,6.64;35,61.44,436.48,157.75,6.75"
doc0029	cite0049	Raw_Reference	"Fox-Genovese, Elizabeth, on New His- toricism, 56-58, 60"		da046592a514d3b052da34aa79a06766dbb89171	https://muse.jhu.edu/book/72311/pdf	"220,232.00,225.46,147.92,8.99;220,241.00,237.46,72.49,8.99"
doc0010	cite0204	Raw_Reference	"McPherson, J. M. (2001) 'Southern comfort'. New York Review of Books, Vol. XLVIII, No. 6, April 12, pp.28-31."		3c618b549a3147fee04037f06fc66f42bff63880	https://ageconsearch.umn.edu/record/30566/files/dp020068.pdf	"30,89.88,140.76,415.72,10.91;30,125.88,154.48,125.25,10.32"
doc0025	cite0041	Raw_Reference	"Levy, H. and Miller, D. Going to ~ The Pol1t1cal Prisoner. New York: Grove Press, 1971."		6f46058df610afebc9976ca7e4a9b9a4fb511fd5	http://escholarship.mcgill.ca/downloads/p2676w34n	"298,99.78,169.20,246.89,9.74;298,128.82,180.33,274.30,9.99"
doc0001	cite0123	FootNote	"Emerson to Colleagues, 18 March 1940, Dunn."		db794486152b1db0ada82d3ecd5059fa2b38aea3	http://discovery.ucl.ac.uk/129884/1/S000708749900388Xa.pdf	"298,99.78,169.20,246.89,9.74;298,128.82,180.33,274.30,9.99"
doc0013	cite0451	Raw_Reference	"Geol. Mag. [3] vol. v. 1888, p. 516. ] Head as in Osteolepis and Dzplopterus. Dorsal fins opposed to the pelvic pair and the anal fin, respectively. Tail strongly hetero- cercal ; caudal fin obliquely truncated posteriorly. Scales smooth and punctate. Thursius macrolepidotus (Sedgwick & Murchison),"		9234928a487f03f740c5ead7ff669b96329e1c0a	https://www.biodiversitylibrary.org/itempdf/125733	"425,75.86,219.41,143.39,9.25;425,21.89,235.64,254.35,9.11;425,12.24,246.74,262.11,9.11;425,12.67,257.98,260.97,9.25;425,12.53,269.16,49.38,8.97;425,31.25,298.86,220.89,9.11"
doc0019	cite0579	Raw_Reference	"Dimitrova-Grajzl, Valentina (2007): The Great Divide Revisited: Ottoman and Habsburg Legacies in Transition. Kyklos 60(4):539-558"		f1eac2ce1c6e174fc13b0f35a8a4f5e0b1171749	https://www.econstor.eu/bitstream/10419/51555/1/670504882.pdf	"43,56.64,516.33,453.45,10.48;43,77.88,530.37,87.54,10.48"
doc0002	cite0597	Raw_Reference	"Lockwood, Alicia 1931 Gardens of Colony and State: Gardens and Gar- deners of the American Colonies and of the Re- public before 1840. Vol. 1. Charles Scribner's Sons, New York. 1934 Gardens of Colony and State: Gardens and Gar- deners of the American Colonies and of the Re- public before 1840. Vol. 2. Charles Scribner's Sons, New York Luccketti, Nicholas 遯ｶｽ｢ 1986a 1985 Bacon's Castle Garden Excavation Progress Report. Manuscript on file, Research Center for Archaeology, Virginia Division of Historic Land- marks, Richmond."		2163f3963aa4bea92b2b7a4590a8ba6fbfe6c6e4	https://orb.binghamton.edu/cgi/viewcontent.cgi?article=1267&context=neha	
doc0013	cite0550	Raw_Reference	"Pygopterus scoticus, L. Agassiz, ibid. p. 10 (includes undefined species Nemopteryx mandibularis and Sauropsis scoticus)."		9234928a487f03f740c5ead7ff669b96329e1c0a	https://www.biodiversitylibrary.org/itempdf/125733	"522,120.35,379.97,238.47,8.41;522,124.27,389.66,201.38,8.41"
doc0048	cite0569	Raw_Reference	Lillekort ii. 77 ftn. (hero lowly) 80 (woman heir)		66322e6103e0d8944be90aeb86f883f0e09d0797	https://www.biodiversitylibrary.org/itempdf/58316	"468,83.52,152.75,143.51,9.01;468,93.42,162.36,51.55,9.01"
doc0001	cite0157	Raw_Reference	"Mayr to Emerson, 26 March 1940, Mayr-Harvard, folder 75."		db794486152b1db0ada82d3ecd5059fa2b38aea3	http://discovery.ucl.ac.uk/129884/1/S000708749900388Xa.pdf	"18,141.65,617.00,205.60,7.02"
doc0092	cite0496	Raw_Reference	"Fransson, G., Holmberg, J., Lindberg, O. J., & Olofsson, A. D. (2019). Oxford Review of Education Digitalise and capitalise ? Teachers ' self-understanding in 21st-century teaching contexts. Oxford Review of Education, 45(1), 102-118. https://doi.org/10.1080 /03054985.2018.1500357"		567f712dea4692be77f7e0beb8f3b9ce9eb3f920	https://journal.iainkudus.ac.id/index.php/QIJIS/article/download/4900/pdf	"19,70.87,301.59,311.83,10.09;19,94.87,315.09,287.82,11.19;19,94.87,328.59,287.81,10.41;19,94.87,342.09,287.83,10.41;19,94.87,355.59,125.69,10.09"
doc0024	cite0033	Raw_Reference	"BRUCB, ROBBRT. After forty-nine years. (An account of the ceremonies connected with the deposit in Mer of the cremated ashes of John Stewart Bruce.) Privately printed, 1930. BIBLIOGRAPHY"		621f9cc507ce582a8ded18d7ad9f4d21f1a33b80	https://ttu-ir.tdl.org/bitstream/2346/47128/1/ttu_stc001_000031.pdf	"435,68.90,672.14,422.48,9.00;435,88.77,683.24,381.61,9.00;436,299.87,74.46,82.59,9.00"
doc0028	cite0150	FootNote	"are in Journals of Congress (Ford ed.),II, 128, 140."		60e42537ca2869de9092e8eb73defa2bc0857ed8	https://archive.org/download/declarationofind00beckuoft/declarationofind00beckuoft_bw.pdf	
doc0013	cite0141	Raw_Reference	"Rhizodopsis sauroides, W. J. Barkas, Monthly Rev. Dental Surgery, vol. iv. p. 433, figs. Ixxxii-lxxxv."		9234928a487f03f740c5ead7ff669b96329e1c0a	https://www.biodiversitylibrary.org/itempdf/125733	"408,110.72,35.63,237.42,8.41;408,114.48,45.24,150.89,8.55"
doc0009	cite0598	Raw_Reference	"Scouts reviewed by British Minister, Panama Star and Herald, 1 Dec. 1923, enclosed in British Public Record Office, FO 371/8475, f. 105."	YES	3770ea7f24f3c2572fb7b08262bf2be9e0ca691b	http://d-scholarship.pitt.edu/20856/1/PutnamSocHist2006PostPrint.pdf	
doc0014	cite0599	FootNote	"It is generally agreed that there is little or no scientific gap among the countries under consideration here. The supply of technical ability does not seem to have been a significant constraint on innovation. See OECD, Gaps in Technology, various reports(Paris, 1971). 39 J. Heer, Reflets du monde, presence de NestU (Rivaz, 1966). ｾゑｽｫJ. Choffel, S*. Gobain, du miroir d Vatome (Paris, 1960). 38 This finding has been documented for the steel industry in Roger Emile Miller, Innovation, Organization and Environment: A Study of Sixteen American and West European Steel Firms (University Catholique de Louvain, Belgique, Nouvelles Series, No. 86), 152. 38 Philips, Facts About Philips, 4-8.EUROPEAN MULTINATIONALS"		05dbcb8cc4a5e9a5c655e11279c64694b774c2c4	http://doc.rero.ch/record/291422/files/S0007680500003871.pdf	
doc0008	cite0044	Raw_Reference	"WILLOUGHBY, WILLIAM FRANKLIN 1905 Territories and Dependencies of the United States: Their Covcnlmcnt and Administration. New York: Century."		53a665a914aae1bf6e4c729b20080d4d281a863d	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/31D66E6CE76CE7729C019545C4F38104/S002387910001952Xa.pdf/div-class-title-rural-puerto-rico-in-the-early-twentieth-century-reconsidered-land-and-society-1899-1915-div.pdf	"33,51.82,472.72,116.76,5.50;33,59.97,479.88,315.36,8.11;33,87.87,489.29,68.96,7.72"
doc0099	cite0531	FootNote	https://doi.org/10.1017/S0020859000002212 Published online by Cambridge University Press		8c78916c77308e03f8cc4abc0cca9071c7f1337e	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9C62B38DBD23AF2BF1704518176D9410/S0020859000002212a.pdf/div-class-title-educational-pressure-groups-and-the-indoctrination-of-the-radical-ideology-of-solidarism-1895-1914-div.pdf	"33,51.82,472.72,116.76,5.50;33,59.97,479.88,315.36,8.11;33,87.87,489.29,68.96,7.72"
doc0011	cite0014	Raw_Reference	"These areas included sites operating south of Interstate 10 in Mississippi, and in the seven Louisiana parishes in and around New Orleans. US Department of Labor, OSHA Office of Communications, ""OSHA Resuming Regular Enforcement Along Most of Gulf Coast,"" National News Release, No. USDL 06-119-NAT (Jan. 20, 2006). http://www.osha.gov/pls/oshaweb /owadisp.show_document?p_table=NEWS_RELEASES&p_id=11805 (accessed May 14, 2006)."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"54,82.50,248.33,448.87,7.89;54,82.50,259.33,446.72,7.89;54,82.50,270.33,438.11,7.89;54,82.50,281.33,349.23,7.89"
doc0023	cite0455	Raw_Reference	"System of Positive Polity, IV, s71."		9d7a870c061da41b94c24ceb6360386d011b99e0	https://muse.jhu.edu/book/67900/pdf	"403,56.30,398.47,145.25,12.78"
doc0006	cite0209	Raw_Reference	"Edward Said, The Question of Palestine (New York: Vintage Books, 1980)."		d6a9b486f833a3db09298ea76f05ee3cb476c8f5	https://library.oapen.org/bitstream/20.500.12657/51086/1/external_content.pdf	"275,66.44,394.79,292.80,9.00"
doc0001	cite0139	FootNote	"On Huxley's trip, see correspondence in Huxley, box 13, folder 6, and box 14, folders 14-15, plus his personal diary for ' 1940 '."		db794486152b1db0ada82d3ecd5059fa2b38aea3	http://discovery.ucl.ac.uk/129884/1/S000708749900388Xa.pdf	"275,66.44,394.79,292.80,9.00"
doc0081	cite0438	Raw_Reference	Gothic Cathedrals. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 513 10.1 Some Historical Notes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 513 10.2 Brief Indications on the Construction Techniques . . . . . . . . . . . 515 10.3 Relevant Static Problems . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 519 10.4 Transverse Wind Strength . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 520 10.4.1 Wind Action on a Typical Segment of the Cathedral . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 520		5ccf71ebbabfdf4a494e8465bdbf6c892529e922	https://link.springer.com/content/pdf/bfm:978-3-319-54738-1/1?pdf=chapter%20toc	"18,73.99,186.26,311.50,8.89;18,74.27,198.35,311.22,8.76;18,74.27,210.31,311.22,8.76;18,74.27,222.27,311.22,8.76;18,74.27,234.24,311.22,8.76;18,101.76,246.20,179.00,8.76;18,136.06,258.16,249.42,8.76"
doc0010	cite0144	Raw_Reference	"Franklin, J.H. and Schweninger, L. (1999) Runaway Slaves: Rebels on the Plantation. New York: Oxford University Press Genovese, E. (1969) The World the Slaveholders Made. New York: Pantheon."		3c618b549a3147fee04037f06fc66f42bff63880	https://ageconsearch.umn.edu/record/30566/files/dp020068.pdf	"29,89.88,273.36,415.71,10.91;29,125.88,287.08,166.36,10.32;29,89.88,313.14,374.56,10.91"
doc0041	cite0533	Raw_Reference	"Bilal Efendi, Fahmi, 287, 297"		3689f080db2243c81a36d6969b8ec27e666038a1	https://dspace.library.uu.nl/bitstream/handle/1874/420970/ASS_Zed.pdf?sequence=1&isAllowed=y	"373,184.80,251.30,101.52,4.17"
doc0002	cite0002	Raw_Reference	"Glenn, II 1967 1967-1968 letters on file, William Paca Garden VisitOr's Center, Annapolis, MD."		2163f3963aa4bea92b2b7a4590a8ba6fbfe6c6e4	https://orb.binghamton.edu/cgi/viewcontent.cgi?article=1267&context=neha	"29,258.88,178.38,29.83,7.20;29,239.96,187.26,192.58,7.20;29,268.78,196.14,105.90,7.20"
doc0006	cite0194	Raw_Reference	"Lawrence, June 1930], quoted in Basil Henry Liddell Hart, The British Way in Warfare (New York: Macmillan, 1933), 159. 120. Reported in Bell to her father, December 12, 1920, quoted in Burgoyne, Gertrude Bell, 2:190."		d6a9b486f833a3db09298ea76f05ee3cb476c8f5	https://library.oapen.org/bitstream/20.500.12657/51086/1/external_content.pdf	"67,73.31,145.00,286.70,9.00;67,51.00,157.00,196.08,9.00;67,63.00,169.00,297.28,9.00;67,51.00,181.00,79.09,9.00"
doc0006	cite0188	Raw_Reference	"Brooke-Popham, ""Aeroplanes in Tropical Countries""; Claude H. Keith, 3 December 1927, in Flying Years, Aviation Book Club ed. (London: J. Ham- ilton, 1937), 137-38; Young to Shuckburgh, 23 October 1921, CO 730/16, TNA;"		d6a9b486f833a3db09298ea76f05ee3cb476c8f5	https://library.oapen.org/bitstream/20.500.12657/51086/1/external_content.pdf	"67,73.55,457.00,286.71,9.00;67,51.00,469.00,308.96,9.00;67,51.00,481.00,309.09,9.00"
doc0026	cite0056	Raw_Reference	"Anthony J. Badger, The New Deal: The Depression Years, 1933-40 (New York: Hill and Wang, 1989), 239."		1d02f6e3afa598003e4030f956e57e8feb7d6020	https://repository.upenn.edu/cgi/viewcontent.cgi?article=1007&context=cplan_papers	"21,196.11,226.53,289.89,6.99;21,126.00,236.52,80.06,6.99"
doc0048	cite0497	Raw_Reference	"Smith, Toulmin, 'English Guilds"" ii. 365 ftn., 405 ftn. Socialism and Natural Selection i, 108- 109 Son ii. 221"		66322e6103e0d8944be90aeb86f883f0e09d0797	https://www.biodiversitylibrary.org/itempdf/58316	"474,245.70,200.08,165.32,9.01;474,255.78,209.96,67.48,9.01;474,246.06,219.79,162.65,9.01;474,255.96,229.50,11.59,9.01;474,245.70,239.22,41.29,9.01"
doc0040	cite0125	Raw_Reference	"Feagin, Joe R. 2001. Racist America: Roots, Current Realities, and Future Reparations. New York: Routledge. Federal Bureau of Investigation. 2000. Crime in the United States, 2000. Uniform Crime Reports. Washington, D.C.: U.S. Department of Justice, Federal Bureau of Investigation."		44f25c5d43f0f63f10548c211e8e6fc9c754c5e6	https://scholarworks.bgsu.edu/cgi/viewcontent.cgi?article=1005&context=soc_pub	"35,149.75,147.00,310.85,7.27;35,158.22,156.57,82.04,7.27;35,149.75,166.23,310.87,7.27;35,158.22,175.79,302.42,7.27;35,158.22,185.36,49.49,7.27"
doc0008	cite0075	Raw_Reference	"Acreage planted in sugarcane doubled between 1899 and 1910, from 72,146 to 145,433 cuerdas. See Report on the Census of Porto Rico, 1899, 356; and U.s. Department of Commerce, Bureau of the Census, Thirteenth Census of the United States: Volume VH, Agriculture, 1909 and 1910, Reports by States, with Statistics for C01/11ties: Nebraska-Wyoming, Alaska, flawaii, and Porto Rico (Washington, D.C.: U.s. Government Printing Office, 1913), 1006. 29. Central Cambalache in Arecibo, the fourth-largest mill in Puerto Rico in output, be- longed to the principal local group of sugar Inill owners known as el Crupo Fabian (""the Spanish group"") because some of its members were Spaniards who refused to become u.s. citizens after 1917. They vvere also called ""los barones del azllcar."" Juan Giusti asserted that ""the Spanish Group"" was ""the most compact expression of Puerto Rico's 'native planter class' in the early twentieth century."" See Giusti, ""Labor, Ecology, and History in a Caribbean Sugar Plantation Region: Pii10nes (Lolza), Puerto Rico, 1770-1950,"" Ph.D. diss., SUNY-Binghalnton, 1994, 482. The main figure in this group, Eduardo Georgetti, was a pro111inent leader of the autono111ist Partido Uni6n, president of the Plazuela and Florida sugar companies, and a di- rector of the Central Calnbalache cOll1pany and the Banco Territorial y Agricola de Puerto Rico. Georgetti was a native Puerto Rican. Giusti also argued, ""in 1110St of the regions of Puerto Rico \-\There sugar centrals existed before 1898, U.s. capital did not enter at all"" (p. 492). On the prosperity of the locallnill o\-vners of Puerto Rico under the U.s. regilne, see 481-521. 30. Report 011 the CeI1S11~of Porto Rico, 1899,352; and Thirteenth Censlls 0/ the U1lited States: Volume VII, 994. Genera y trabajo: La industria de la aguja en Puerto Rico y el Caribe hispano. Rio Piedras: Editorial de la Universidad de Puerto Rico."		53a665a914aae1bf6e4c729b20080d4d281a863d	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/31D66E6CE76CE7729C019545C4F38104/S002387910001952Xa.pdf/div-class-title-rural-puerto-rico-in-the-early-twentieth-century-reconsidered-land-and-society-1899-1915-div.pdf	"15,69.65,385.51,307.55,7.56;15,55.49,395.29,321.56,7.85;15,55.64,405.16,321.52,7.85;15,55.72,415.16,321.30,7.85;15,55.74,425.03,243.06,7.85;15,63.60,435.24,313.52,7.56;15,55.73,445.28,321.37,7.65;15,55.53,452.41,321.27,11.29;15,55.60,465.23,321.45,7.56;15,56.00,475.10,320.77,7.56;15,55.73,485.09,321.56,7.56;15,56.00,494.97,321.08,7.56;15,55.77,505.08,321.40,7.56;15,55.72,514.96,321.32,7.56;15,55.90,524.95,321.35,7.56;15,56.00,534.94,321.25,7.56;15,56.12,544.82,320.89,7.56;15,56.01,554.93,310.27,7.56;15,63.70,564.59,313.33,7.85;15,56.11,574.68,27.87,7.56;31,81.56,72.56,286.25,8.06;31,81.79,81.73,150.49,7.77"
